,id,conversation_id,created_at,date,timezone,place,body,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,processing_date,is_english
6,1542296469541208064,1542295233643298832,1656547107000.0,2022-06-30 00:58:27,+0100,,@tlou_msmsmsm i’ll get her back. i will do anything. no one else can be THEE sexy clown 420 69.,en,[],[],746505278,746505278,mooopsy,michelle,4,00,https://twitter.com/mooopsy/status/1542296469541208064,[],[],0,,False,1,0,0,,#420,,,,,,,"[{'screen_name': 'tlou_msmsmsm', 'name': 'e', 'id': '1364397645360484355'}]",,,,,2022-07-17 09:20:17.998819,True
7,1542296453070163972,1542244566073581568,1656547103000.0,2022-06-30 00:58:23,+0100,,@FullyFreed @TSNJR He’s had one ppg season in a contract year . His 420 nhl games shows he’s no  even a .75 ppg player,en,[],[],2296549621,2296549621,k_lyons55,lyons🇨🇦,4,00,https://twitter.com/k_lyons55/status/1542296453070163972,[],[],0,,False,0,1,0,,#420,,,,,,,"[{'screen_name': 'FullyFreed', 'name': 'Adam Freed', 'id': '2584128840'}, {'screen_name': 'TSNJR', 'name': 'John Rodenburg', 'id': '304413828'}]",,,,,2022-07-17 09:20:17.998819,True
13,1542296313089478665,1542227574549512193,1656547070000.0,2022-06-30 00:57:50,+0100,,@QCompounding @morganhousel @CunninghamProf @williamgreen72 @chriswmayer @InvestmentBook1 Do find this nugget too. Only 420* ever made.  https://t.co/sQBrzlnkQx,en,[],[],1380911308682489858,1380911308682489858,where_is_hardo,where_is_hardo,4,00,https://twitter.com/where_is_hardo/status/1542296313089478665,[],['https://pbs.twimg.com/media/FWdWUdHXEAg8z1O.jpg'],1,https://pbs.twimg.com/media/FWdWUdHXEAg8z1O.jpg,False,6,0,0,,#420,,,,,,,"[{'screen_name': 'QCompounding', 'name': 'Compounding Quality', 'id': '1535311072181231617'}, {'screen_name': 'morganhousel', 'name': 'Morgan Housel', 'id': '284278132'}, {'screen_name': 'CunninghamProf', 'name': 'Lawrence Cunningham, x-GWU / x-Cravath', 'id': '1267313336'}, {'screen_name': 'williamgreen72', 'name': 'William Green', 'id': '894904914'}, {'screen_name': 'chriswmayer', 'name': 'Chris Mayer', 'id': '78630619'}, {'screen_name': 'InvestmentBook1', 'name': 'Investment Books (Dhaval)', 'id': '1304300015444140032'}]",,,,,2022-07-17 09:20:17.998819,True
17,1542296170680172544,1542296170680172544,1656547036000.0,2022-06-30 00:57:16,+0100,,Jeez I don’t know…MAYBE Pitching 100 mph &amp; hitting 420+ ft HR’s MIGHT be up there! The #Showtime disrespect is REAL &amp; I don’t fudkin get it. I have heard the term “Novelty” tossed around. That’s garbage.,en,['showtime'],[],1339410390489440257,1339410390489440257,BankitBond,Bond Plate,4,00,https://twitter.com/BankitBond/status/1542296170680172544,[],[],0,,False,0,0,0,https://twitter.com/BovadaOfficial/status/1542294983558004736,#420,,,,,,,[],,,,,2022-07-17 09:20:17.998819,True
18,1542295922654302209,1542219210113302530,1656546977000.0,2022-06-30 00:56:17,+0100,,@pammyp13 @The1OnlyRichie Had me at 420 friendly   Whatever that means  https://t.co/OjArdZWZRA,en,[],[],15070390,15070390,KingGame,XXXIV #D4L,4,00,https://twitter.com/KingGame/status/1542295922654302209,[],['https://pbs.twimg.com/tweet_video_thumb/FWdV9taWQAEnrC-.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FWdV9taWQAEnrC-.jpg,False,1,0,0,,#420,,,,,,,"[{'screen_name': 'pammyp13', 'name': 'SWVA Gal 🌈🌊🌎', 'id': '15811617'}, {'screen_name': 'The1OnlyRichie', 'name': 'TheOneAndOnlyRichie 🏳️\u200d🌈🇮🇹🇺🇸', 'id': '775824665583480832'}]",,,,,2022-07-17 09:20:17.998819,True
19,1542295893113819136,1542295893113819136,1656546970000.0,2022-06-30 00:56:10,+0100,,#UnderConstruction🚧  But make sure to follow us on Instagram! @EDDIESisthename  Must be 21+ #EddiesRUs #420 #Bud #THC #Cali to #Carolina #600mg *NOTHING FOR SALE 🥴🍃🍭🍰🎂  https://t.co/HtKS8grFyN,en,"['underconstruction', 'eddiesrus', 'bud', 'thc', 'cali', 'carolina', '600mg']",[],1542126867829952513,1542126867829952513,EDDIESisthename,Eddies,4,00,https://twitter.com/EDDIESisthename/status/1542295893113819136,[],['https://pbs.twimg.com/media/FWdVZ8hWYAglZIF.jpg'],1,https://pbs.twimg.com/media/FWdVZ8hWYAglZIF.jpg,False,0,0,0,,#420,,,,,,,[],,,,,2022-07-17 09:20:17.998819,True
31,1542295287066230785,1542295287066230785,1656546825000.0,2022-06-30 00:53:45,+0100,,OH SHIT I OWE YALL A SUBATHON FOR HITTING 420 FOLLOWERS ON TWITCH Soon I promise ❤️,en,[],[],359763187,359763187,stayy420,twitch.tv/stay420,4,00,https://twitter.com/stayy420/status/1542295287066230785,[],[],0,,False,2,0,0,,#420,,,,,,,[],,,,,2022-07-17 09:20:17.998819,True
32,1542295227892998144,1542295227892998144,1656546811000.0,2022-06-30 00:53:31,+0100,,Big chillin on some fallout 4  / / EldenBeast g chillin /\Lit Lit come thru and kick it // LIT/\ safe space // 420 baby (PS5)  https://t.co/ir0xC7bN5O,en,[],[],2733083980,2733083980,KempTrey,ThisDudeABeast,4,00,https://twitter.com/KempTrey/status/1542295227892998144,['https://twitch.tv/thisdudeabeast'],[],0,,False,2,0,1,,#420,,,,,,,[],,,,,2022-07-17 09:20:17.998819,True
35,1542295161039757313,1542240854911377408,1656546795000.0,2022-06-30 00:53:15,+0100,,@pit_the_panda @StrataProtocol ok so  no mint for me. 2954 items 13k dtpm tokens 420 est mint time . prob minted out by 421 est. ok who wants to but my tokens 🤣🤣,en,[],[],1414030449874067459,1414030449874067459,mike44892,sol_mike⚔️,4,00,https://twitter.com/mike44892/status/1542295161039757313,[],[],0,,False,2,0,0,,#420,,,,,,,"[{'screen_name': 'pit_the_panda', 'name': 'Pit the Panda, the Resurgent and Resplendent', 'id': '1454609712289353728'}, {'screen_name': 'StrataProtocol', 'name': 'Strata Protocol', 'id': '1455566541941006345'}]",,,,,2022-07-17 09:20:17.998819,True
